y1,y2,y3,y4,y5
96,51,75,0.5026034574954067,0.6823688315090217
82,12,59,0.3630545215835227,0.12307570576132276
67,26,65,0.27387009689107344,0.061560701116645467
60,88,72,0.6784637541795724,0.4057954940563332
84,64,82,0.04268080322592849,0.2617404568173193
6,75,20,0.693720326225342,0.10937306875945918
14,76,61,0.8749754609218172,0.19100879738056342
6,13,38,0.8767756875268083,0.981748728122811
30,30,68,0.35626040293365413,0.1323886079417841
20,48,14,0.3849396428016578,0.25257070810776927
26,59,23,0.10710709862607037,0.4808843343140563
56,16,17,0.7220037020385285,0.18205726352884066
70,70,98,0.4366181964213729,0.5123280278686821
28,15,51,0.7971367963149656,0.8633565087272534
99,11,89,0.09204636638894181,0.07790506790732443
50,53,25,0.6163205888420963,0.39981667656855324
51,26,10,0.2507225462019631,0.9286787255573914
50,50,28,0.9425480561765707,0.04355460778878684
32,78,51,0.1859949807068415,0.5578099678491553
99,77,8,0.995468118849343,0.6548144793108337
41,57,65,0.39967635550094716,0.48541548208783736
14,46,66,0.9234801743342891,0.7577207921133121
29,84,5,0.44618587294381873,0.22231306749694157
97,62,97,0.3627029760877599,0.569490482185974
33,40,19,0.8276540008214838,0.923072628802191
17,39,44,0.5605114645309612,0.848120719984177
89,99,76,0.004615635706069043,0.4591051708113394
9,20,47,0.9768910783328217,0.9832751643996352
78,17,91,0.6553098266836487,0.7040403826432847
75,55,66,0.6280913408969124,0.5831446533289626
51,91,10,0.40473223411873216,0.1413110417678315
12,74,12,0.5558661089222108,0.5288507019992731
48,3,1,0.985164276475938,0.5121197760742386
20,70,52,0.8137623049638107,0.02687654275331386
42,92,16,0.026399080724554658,0.35347782131328187
53,83,76,0.3668290360308609,0.4418115297383226
14,50,39,0.5412797869305271,0.8771005617615125
47,52,9,0.9738897639792493,0.6641541719603803
54,57,1,0.7252425281492376,0.5365517305408748
37,38,97,0.5155425956838832,0.6741685896257356
36,3,56,0.2393016579931343,0.5245194540193959
22,10,55,0.3372752337282503,0.02703657821348504
36,62,79,0.5740246771499586,0.5050370678217705
11,11,56,0.5020693009888945,0.42745271665168394
20,31,76,0.8891913839539374,0.37414383012522345
35,70,49,0.40323083327073617,0.6420020149405407
5,96,28,0.6584269331040211,0.9913719877305132
87,96,58,0.25451752600102395,0.5990047187537786
76,9,80,0.5853248495383653,0.4741519402363368
62,68,22,0.7057559836793279,0.5630397171150284
69,42,45,0.9650104247431972,0.9581243743341247
89,21,50,0.2346064536346797,0.5716263931758335
7,48,20,0.5731895983907576,0.19313213392432627
97,43,8,0.6704376142577286,0.9402484783739607
61,33,86,0.3075770508767477,0.658379738987183
18,13,18,0.2973074579371523,0.5014192083132889
19,49,11,0.6381736722848548,0.5718132965617977
23,29,84,0.7545614299374698,0.4770622058703252
40,34,98,0.9613679598020315,0.8482995724924711
27,89,76,0.6805889746316995,0.8723053531610881
71,97,10,0.06915606247326167,0.623915784320513
25,46,82,0.11294813129616676,0.3641181283595194
76,18,29,0.9325638718090294,0.9226073940562163
12,98,54,0.6339064910424086,0.18160564510163435
21,34,5,0.33766865313701244,0.24098225605977275
83,43,81,0.7339741505978428,0.84598582330868
70,36,74,0.08444486342436075,0.7404677941713264
42,29,99,0.6637852412526285,0.27896385056330597
42,17,30,0.8458213236087824,0.7614885415792784
5,43,79,0.7232455562988527,0.6783465311245511
1,21,55,0.48696903300812533,0.9881883892137036
29,34,4,0.14541706455872494,0.8438950464693654
63,2,82,0.009186355546266456,0.1676372254807863
41,79,8,0.474334664418544,0.24551232925376587
34,76,10,0.8240336699881756,0.8078937970401829
3,2,66,0.795260124481533,0.7408946489682088
39,60,45,0.900207119774077,0.06425671630308749
61,42,61,0.840599258097111,0.2542416782513395
98,42,27,0.5233334431911083,0.9632112593113333
40,27,94,0.022514001133163042,0.7694791889427371
81,30,63,0.7675603861778476,0.9688259011068793
29,59,0,0.14560909216551787,0.7697909016309133
40,74,57,0.9391557979011746,0.7270578986265721
47,79,35,0.7046061839952341,0.4746569404718032
30,15,89,0.0022383435575629163,0.6282364998998755
23,63,10,0.19958088218584202,0.20443562823628858
39,26,17,0.12443107800649167,0.03905533181901388
16,86,80,0.8453772289764766,0.5814864750734018
28,93,84,0.4450152957182031,0.28888572540803403
14,31,1,0.4308350341228272,0.8329895186158219
14,76,84,0.9663182161896545,0.5080736225609281
83,34,87,0.31244025749688564,0.5572381273199905
12,35,81,0.46371820155284293,0.4574153479859526
63,85,11,0.1344269848469204,0.9436463378748721
18,23,56,0.21209559257995725,0.196267322658505
53,94,95,0.4542960343725526,0.1379087965282325
92,18,10,0.42834469761704164,0.5836577547696854
67,49,24,0.5514904654380967,0.38515043481112965
1,96,32,0.9132188198109703,0.39134434954608455
56,40,65,0.9822884983442685,0.8375145679198794
84,93,77,0.6694915677053963,0.39994314384934826
76,28,89,0.4478985177950434,0.6203454194149375
43,11,79,0.5568607542527073,0.913807872184887
69,93,10,0.7290926085716122,0.08252844956301608
85,32,74,0.005045776827939941,0.854805526158912
41,88,94,0.3403673085261567,0.3249359664217173
49,100,90,0.7883747626990508,0.430416370648828
31,35,86,0.790265258081329,0.7565666752639384
30,84,70,0.6978338178637554,0.39363599262064697
78,53,60,0.50350186346102,0.9099001758781394
75,8,55,0.4572578860229749,0.12589959779113458
38,87,41,0.5911537487735468,0.2871610869204291
0,54,37,0.1392961073415966,0.7328916456001329
97,2,33,0.3348765117078961,0.7542495311098475
98,42,80,0.6151203150445951,0.0010875519846315074
8,79,97,0.5710380599960596,0.8621509586186183
18,93,48,0.30262151508281865,0.9241048047813426
31,88,37,0.25076090534058104,0.17089931171554196
80,36,1,0.8824983243547415,0.2760973709625587
69,46,79,0.16614317011822666,0.2720027001888242
0,67,83,0.0713831805355547,0.16316707577665546
35,49,68,0.3074864686227653,0.06363615396505096
76,33,86,0.7038222611599928,0.08105557398848673
10,82,72,0.7958907048855767,0.8026836832333231
36,28,46,0.9275167903950599,0.028388040338532927
1,34,25,0.3245831219879588,0.0967884087027906
4,63,7,0.6304814536207136,0.939691292825616
99,18,56,0.6924018692221685,0.4417245556547855
96,3,38,0.715969117165405,0.2614077565013593
62,33,87,0.3171298637956067,0.48813423717900994
37,6,35,0.032057341448079146,0.2817667360133784
66,36,66,0.8607091733200365,0.5994203696313536
29,20,46,0.839718817736929,0.1728844831882227
58,43,44,0.37027479211293524,0.40420230859049
10,70,29,0.5573102173442193,0.2324697974101958
89,14,23,0.38241768137820586,0.07414105416433714
23,98,46,0.8994438220068876,0.00824483416353694
81,28,90,0.5837407547001375,0.8716141780411527
85,45,95,0.1535430287454025,0.21695954677485152
78,40,64,0.5494773808570619,0.0793536446726607
58,14,49,0.15318180227585143,0.2848282318824552
49,13,76,0.5164980047403586,0.07338284786933802
61,43,22,0.7828977887038042,0.7392436099286417
49,80,38,0.3059909201976837,0.3291757103712344
62,58,31,0.8493061535417747,0.3318714488802692
20,53,0,0.23389162693240428,0.8505465784064523
75,73,17,0.16684794759664412,0.875613054435781
43,70,99,0.8389951315050195,0.5097296567408207
24,35,54,0.6248519164690266,0.47674302792707346
49,69,21,0.3155213082709243,0.27635755166669007
99,20,22,0.751249841332691,0.4975947313334408
7,14,99,0.09982465171867927,0.07868537080468985
41,26,65,0.21059047114842133,0.5143692127556106
13,15,74,0.5962969081371675,0.5239205460234586
67,71,83,0.4530696338038349,0.3018274317464501
71,4,48,0.7338177067258878,0.9113933123766731
85,37,58,0.024321914187852678,0.5213444516744355
27,13,88,0.18048375873464761,0.3705048072775179
58,62,23,0.7918496970367601,0.5238958477985937
75,82,99,0.4340305743783347,0.9792607948760489
76,30,19,0.8034271889384171,0.8836222826823962
1,72,44,0.47662924659094397,0.23716410301859003
5,69,13,0.12463014799111571,0.58007169195005
91,71,100,0.8099901260064172,0.12977602319336534
41,81,62,0.2624150260607633,0.5807587523375082
